t,T1,T2,T3
14,25.945,0.53,5.451
14,23.65,0.443,6.561
14,22.92,0.466,4.889
14,22.564,0.464,3.914
15,25.341,0.464,7.897
15,23.799,0.428,8.376
15,27.21,0.479,8.641
15,23.986,0.445,7.846
16,25.585,0.602,15.417
16,25.898,0.441,14.904
16,25.707,0.596,15.549
16,25.776,0.442,15.116
17,27.216,0.444,30.31
17,25.358,0.45,29.793
17,25.798,0.425,29.702
17,25.354,0.438,29.476
18,26.782,0.42,59.864
18,27.285,0.426,60.05
18,27.994,0.432,59.617
18,26.829,0.431,60.558
19,27.604,0.45,119.038
19,28.088,0.434,118.618
19,28.682,0.435,120.13
19,29.166,0.426,118.895
20,29.647,0.83,236.752
20,29.595,0.42,236.306
20,28.709,0.415,236.367
20,29.088,0.435,236.198
21,30.932,0.423,470.865
21,30.804,0.427,478.681
21,30.746,0.412,476.043
21,29.892,0.424,472.482
22,31.845,0.427,947.718
22,33.133,0.501,953.552
22,31.966,0.439,953.847
22,32.286,0.422,951.081
23,33.67,0.427,1902
23,33.68,0.442,2049
23,33.733,0.431,1936
23,34.149,0.466,1908
24,36.605,0.443,3827
24,35.047,0.426,3836
24,35.481,0.43,3814
24,33.94,0.424,3837
25,67.564,0.423,7811
25,36.784,0.433,7667
25,36.965,0.433,7654
25,35.746,0.429,7659
26,39.295,0.431,15691
26,38.164,0.443,15335
26,37.488,0.417,15433
26,36.963,0.419,15456
27,38.857,0.42,30598
27,37.923,0.416,30665
27,38.065,0.445,31133
27,38.328,0.412,30704
28,41.013,0.434,1
28,40.377,0.428,1
28,40.208,0.427,1
28,39.921,0.409,1
29,40.78,0.434,2
29,47.704,0.575,2
29,42.173,0.427,2
29,40.973,0.446,2
